keyFieldSize,nonKeyFieldSize,numOfFixedLengthField,numOfVarLengthField,numOfRows,timePerRow
31,155,6,9,1,0.8558800000000004
31,155,6,9,1,0.7813200000000002
31,155,2,13,1,0.86171
31,155,9,6,1,0.7653300000000003
31,155,7,8,1,0.8675400000000001
31,155,7,8,1,0.7871300000000003
31,155,4,11,1,0.7917799999999999
31,155,7,8,1,0.7996700000000001
31,155,9,6,1,0.8547399999999996
31,155,9,6,1,0.8401000000000001
26,102,5,4,1,0.6091400000000003
26,102,5,4,1,0.7363599999999996
26,102,4,5,1,0.6763500000000003
26,102,4,5,1,0.6189899999999999
26,102,1,8,1,0.60162
26,102,5,4,1,0.6996300000000001
26,102,5,4,1,0.62859
26,102,6,3,1,0.7186500000000002
26,102,6,3,1,0.6488100000000001
26,102,5,4,1,0.64225
24,113,5,5,1,0.5918600000000004
24,113,4,6,1,0.6780299999999997
24,113,5,5,1,0.7101500000000001
24,113,6,4,1,0.7424299999999998
24,113,5,5,1,0.6258599999999999
24,113,2,8,1,0.6549299999999999
24,113,3,7,1,0.7480600000000003
24,113,7,3,1,0.6890999999999998
24,113,4,6,1,0.6372300000000003
24,113,4,6,1,0.6893400000000003
22,72,6,5,1,0.27304999999999996
22,72,5,6,1,0.2722199999999999
22,72,3,8,1,0.25304000000000004
22,72,4,7,1,0.2599400000000001
22,72,1,10,1,0.26601000000000014
22,72,5,6,1,0.26471999999999996
22,72,4,7,1,0.26871
22,72,6,5,1,0.26704
22,72,6,5,1,0.26946
22,72,8,3,1,0.25005999999999995
24,77,6,6,1,0.2754099999999999
24,77,5,7,1,0.30732000000000004
24,77,9,3,1,0.29178999999999994
24,77,7,5,1,0.2939300000000001
24,77,8,4,1,0.3037199999999999
24,77,7,5,1,0.2893399999999999
24,77,9,3,1,0.29923
24,77,8,4,1,0.2873099999999999
24,77,6,6,1,0.29263
24,77,9,3,1,0.3005699999999999
20,121,6,8,1,0.3194400000000001
20,121,9,5,1,0.31621000000000005
20,121,5,9,1,0.32238000000000006
20,121,8,6,1,0.33144999999999997
20,121,4,10,1,0.4209400000000001
20,121,5,9,1,0.3219299999999999
20,121,9,5,1,0.34163000000000004
20,121,3,11,1,0.3241400000000002
20,121,9,5,1,0.31943999999999995
20,121,9,5,1,0.32382999999999995
33,29,4,2,1,0.18016
33,29,2,4,1,0.18713000000000002
33,29,2,4,1,0.19396999999999992
33,29,4,2,1,0.17786
33,29,4,2,1,0.18349999999999997
33,29,3,3,1,0.19089000000000017
33,29,4,2,1,0.19854999999999998
33,29,3,3,1,0.19775999999999988
33,29,2,4,1,0.18298999999999999
33,29,2,4,1,0.18538999999999997
23,116,8,6,1,0.31887999999999994
23,116,3,11,1,0.31804
23,116,7,7,1,0.3158300000000001
