keyFieldSize,nonKeyFieldSize,numOfFixedLengthField,numOfVarLengthField,numOfRows,timePerRow
16,95,3,5,0,613.451
16,95,3,5,0,310.35
16,95,3,5,0,276.006
16,95,3,5,0,312.264
16,95,3,5,0,211.476
16,95,3,5,0,173.607
16,95,3,5,0,182.155
16,95,3,5,0,164.834
16,95,3,5,0,183.319
16,95,3,5,0,177.397
16,95,3,5,0,171.553
16,95,3,5,0,173.657
16,95,3,5,0,176.879
16,95,3,5,0,160.255
16,95,3,5,0,176.188
16,95,3,5,0,157.755
16,95,3,5,1,174.734
16,95,3,5,0,157.63
16,95,3,5,0,157.83
16,95,3,5,0,175.101
16,95,3,5,0,168.882
16,95,3,5,0,161.371
16,95,3,5,0,177.802
16,95,3,5,0,169.18
16,95,3,5,1,172.582
16,95,3,5,0,186.376
16,95,3,5,0,156.824
16,95,3,5,0,166.96
16,95,3,5,0,158.245
16,95,3,5,0,157.452
16,95,3,5,0,160.171
16,95,3,5,0,161.205
16,95,3,5,0,164.959
16,95,3,5,0,160.637
16,95,3,5,1,156.747
16,95,3,5,0,165.142
16,95,3,5,0,156.813
16,95,3,5,0,156.846
16,95,3,5,0,158.294
16,95,3,5,0,163.305
16,95,3,5,0,161.641
16,95,3,5,0,172.393
16,95,3,5,0,169.501
16,95,3,5,0,220.667
16,95,3,5,0,222.399
16,95,3,5,1,161.314
16,95,3,5,0,163.819
16,95,3,5,1,155.401
16,95,3,5,1,153.513
16,95,3,5,0,158.389
16,95,3,5,0,162.568
16,95,3,5,0,158.517
16,95,3,5,0,169.867
16,95,3,5,0,202.863
16,95,3,5,0,163.687
16,95,3,5,0,208.861
16,95,3,5,0,214.993
16,95,3,5,1,172.534
16,95,3,5,0,171.4
16,95,3,5,0,179.72
16,95,3,5,0,210.36
16,95,3,5,0,249.247
16,95,3,5,0,191.121
16,95,3,5,0,170.066
16,95,3,5,0,164.588
16,95,3,5,0,199.789
16,95,3,5,0,203.3
16,95,3,5,0,185.541
16,95,3,5,0,163.696
16,95,3,5,0,162.777
16,95,3,5,0,159.787
16,95,3,5,0,164.772
16,95,3,5,0,157.928
16,95,3,5,0,167.868
16,95,3,5,0,161.668
16,95,3,5,0,169.221
16,95,3,5,0,172.768
16,95,3,5,0,156.917
16,95,3,5,0,170.996
16,95,3,5,0,173.485
16,95,3,5,0,162.277
16,95,3,5,0,175.033
16,95,3,5,0,188.78
16,95,3,5,0,159.558
16,95,3,5,0,182.069
16,95,3,5,0,166.466
16,95,3,5,0,181.809
16,95,3,5,0,159.442
16,95,3,5,0,162.12
16,95,3,5,0,160.575
16,95,3,5,0,160.976
16,95,3,5,0,160.158
16,95,3,5,0,166.694
16,95,3,5,0,160.498
16,95,3,5,0,160.892
16,95,3,5,0,169.886
16,95,3,5,0,204.736
16,95,3,5,0,169.582
16,95,3,5,0,154.95
16,95,3,5,0,172.992
16,73,1,2,0,113.53
16,73,1,2,0,129.344
16,73,1,2,0,111.181
16,73,1,2,0,114.475
16,73,1,2,1,109.041
16,73,1,2,0,112.93
16,73,1,2,1,108.209
16,73,1,2,0,111.052
16,73,1,2,0,111.202
16,73,1,2,1,111.287
16,73,1,2,0,112.976
16,73,1,2,0,121.2
16,73,1,2,1,109.222
16,73,1,2,0,112.79
16,73,1,2,0,110.714
16,73,1,2,0,112.527
