keyFieldSize,nonKeyFieldSize,numOfFixedLengthField,numOfVarLengthField,numOfRows,timePerRow
16,30,1,1,1,0.3616013999999998
16,0,0,0,1,0.31667489999999754
16,106,4,2,1,0.4923993000000005
16,103,5,1,1,0.4631627000000003
16,17,1,0,1,0.26847820000000144
16,97,4,2,1,0.06598209999999984
16,127,5,5,1,0.08007199999999885
16,65,1,4,1,0.060239400000000366
16,0,0,0,1,0.04673009999999914
16,99,3,4,1,0.05050889999999892
16,77,4,3,1,0.05176619999999907
16,96,7,1,1,0.051525499999999065
16,72,2,1,1,0.05251909999999903
16,7,2,1,1,0.050558399999999476
16,12,2,1,1,0.050452999999999824
16,148,3,8,1,0.05593449999999921
16,15,1,1,1,0.0506208999999991
16,51,2,2,1,0.05050869999999968
16,130,6,4,1,0.054970599999999044
16,166,6,5,1,0.05387909999999985
16,166,6,6,1,0.05844999999999942
16,19,0,1,1,0.04711399999999975
16,131,5,5,1,0.05465229999999918
16,81,2,4,1,0.05131489999999893
16,82,1,4,1,0.0499926999999989
16,155,9,2,1,0.053977899999999475
16,57,2,1,1,0.04983169999999913
16,158,7,5,1,0.09034169999999937
16,94,0,5,1,0.05204089999999919
16,0,0,0,1,0.04697749999999924
16,23,2,0,1,0.04806319999999894
16,0,0,0,1,0.047368299999999204
16,101,4,4,1,0.05235829999999955
16,52,3,1,1,0.062257599999998726
16,112,6,5,1,0.12077279999999585
16,28,0,2,1,0.04744539999999883
16,4,0,1,1,0.0486983999999993
16,160,5,7,1,0.0566496999999995
16,106,6,3,1,0.050622399999998645
16,104,5,1,1,0.05144459999999928
16,58,2,1,1,0.05013099999999994
16,124,5,4,1,0.053465599999999086
16,62,1,3,1,0.05001689999999937
16,15,1,1,1,0.04939789999999945
16,51,3,4,1,0.05143879999999962
16,151,6,3,1,0.055233099999999855
16,0,0,0,1,0.05014299999999921
16,70,0,3,1,0.05099899999999949
16,113,1,5,1,0.05011379999999895
16,100,2,4,1,0.050684099999999226
16,49,1,1,1,0.04786809999999898
16,36,2,1,1,0.04948939999999952
16,11,0,1,1,0.04720999999999917
16,55,4,2,1,0.05038599999999952
16,66,3,3,1,0.04996039999999937
16,168,7,4,1,0.05812469999999987
16,117,2,5,1,0.05124609999999942
16,10,0,1,1,0.04736609999999891
16,151,3,7,1,0.052139399999999635
16,49,1,1,1,0.04880369999999929
16,112,1,6,1,0.05081629999999879
16,147,5,4,1,0.05326569999999906
16,153,6,5,1,0.0521944999999997
16,52,3,1,1,0.05013569999999944
16,133,5,3,1,0.0508591999999987
16,10,0,2,1,0.04776609999999924
16,134,7,2,1,0.05277799999999966
16,1,1,0,1,0.04639739999999896
16,143,6,4,1,0.052941699999999606
16,148,4,6,1,0.05218459999999975
16,60,2,2,1,0.04849519999999988
16,0,0,0,1,0.04774599999999943
16,70,1,2,1,0.04952139999999892
16,119,6,3,1,0.05102369999999925
16,56,2,4,1,0.050988799999999126
16,118,3,3,1,0.05122279999999803
16,159,8,3,1,0.05169889999999982
16,100,2,4,1,0.0542123999999994
16,91,3,5,1,0.04891039999999916
16,143,6,3,1,0.0489491999999993
16,93,4,0,1,0.04833209999999907
16,78,2,3,1,0.04996909999999901
16,25,0,2,1,0.048581699999999464
16,95,5,3,1,0.051253099999999496
16,110,2,6,1,0.049555399999999375
16,40,2,1,1,0.04781579999999862
16,70,3,3,1,0.050126199999999656
16,157,5,5,1,0.05283669999999969
16,164,6,6,1,0.051032400000000276
16,59,3,1,1,0.048785199999998696
16,100,4,1,1,0.04956199999999891
16,46,2,3,1,0.04902389999999889
16,4,0,1,1,0.047293599999999006
16,39,1,3,1,0.04854189999999913
16,110,5,2,1,0.051155199999998215
16,171,3,9,1,0.05424629999999966
16,0,0,0,1,0.046386899999998954
16,172,7,5,1,0.06296659999999936
16,52,2,2,1,0.05318319999999918
16,34,3,1,1,0.049942099999999476
