keyFieldSize,nonKeyFieldSize,numOfFixedLengthField,numOfVarLengthField,numOfRows,timePerRow
16,30,1,1,0,59.489
16,30,1,1,0,56.722
16,30,1,1,0,52.874
16,30,1,1,0,35.063
16,30,1,1,0,67.526
16,30,1,1,1,30.137
16,30,1,1,0,62.061
16,30,1,1,0,35.23
16,30,1,1,0,32.292
16,30,1,1,0,51.98
16,30,1,1,0,41.925
16,30,1,1,0,34.307
16,30,1,1,0,33.044
16,30,1,1,0,39.651
16,30,1,1,0,42.993
16,30,1,1,0,43.979
16,30,1,1,0,37.392
16,30,1,1,0,47.791
16,30,1,1,0,38.01
16,30,1,1,0,35.385
16,30,1,1,0,41.992
16,30,1,1,0,29.603
16,30,1,1,0,38.879
16,30,1,1,0,40.973
16,30,1,1,0,27.393
16,30,1,1,0,32.491
16,30,1,1,0,56.436
16,30,1,1,0,33.655
16,30,1,1,0,43.202
16,30,1,1,0,48.978
16,30,1,1,0,32.884
16,30,1,1,0,86.747
16,30,1,1,0,27.757
16,30,1,1,0,28.223
16,30,1,1,1,40.832
16,30,1,1,0,35.782
16,30,1,1,0,32.284
16,30,1,1,0,56.081
16,30,1,1,0,44.124
16,30,1,1,0,37.841
16,30,1,1,0,33.405
16,30,1,1,0,81.015
16,30,1,1,0,50.89
16,30,1,1,0,46.096
16,30,1,1,0,44.493
16,30,1,1,0,44.21
16,30,1,1,0,30.453
16,30,1,1,0,36.002
16,30,1,1,0,27.895
16,30,1,1,0,31.617
16,30,1,1,0,36.972
16,30,1,1,0,35.299
16,30,1,1,0,28.805
16,30,1,1,0,50.765
16,30,1,1,0,50.971
16,30,1,1,0,38.265
16,30,1,1,0,44.286
16,30,1,1,0,40.581
16,30,1,1,0,31.348
16,30,1,1,0,37.102
16,30,1,1,0,39.757
16,30,1,1,1,41.731
16,30,1,1,0,36.422
16,30,1,1,0,41.965
16,30,1,1,0,38.492
16,30,1,1,0,49.559
16,30,1,1,0,72.122
16,30,1,1,0,54.323
16,30,1,1,1,42.943
16,30,1,1,0,42.984
16,30,1,1,0,86.189
16,30,1,1,0,33.154
16,30,1,1,1,51.731
16,30,1,1,0,59.222
16,30,1,1,0,35.919
16,30,1,1,1,44.155
16,30,1,1,0,90.049
16,30,1,1,0,56.606
16,30,1,1,1,59.174
16,30,1,1,0,53.443
16,30,1,1,0,43.383
16,30,1,1,0,30.085
16,30,1,1,0,36.791
16,30,1,1,0,30.909
16,30,1,1,0,35.348
16,30,1,1,0,38.59
16,30,1,1,0,28.934
16,30,1,1,0,55.818
16,30,1,1,0,42.106
16,30,1,1,0,39.599
16,30,1,1,0,52.7
16,30,1,1,0,84.098
16,30,1,1,0,61.229
16,30,1,1,0,48.459
16,30,1,1,0,62.674
16,30,1,1,0,42.425
16,30,1,1,0,40.314
16,30,1,1,0,41.682
16,30,1,1,0,32.116
16,30,1,1,0,43.87
16,0,0,0,1,14.29
16,0,0,0,0,13.859
16,0,0,0,0,14.363
16,0,0,0,0,14.274
16,0,0,0,0,13.942
16,0,0,0,0,13.578
16,0,0,0,0,13.966
16,0,0,0,0,14.599
16,0,0,0,0,14.186
16,0,0,0,0,25.047
16,0,0,0,0,14.18
16,0,0,0,0,13.346
16,0,0,0,0,13.876
16,0,0,0,0,14.556
16,0,0,0,0,25.148
16,0,0,0,0,13.505
16,0,0,0,0,14.697
16,0,0,0,0,15.337
16,0,0,0,0,13.387
16,0,0,0,0,20.595
16,0,0,0,0,14.084
16,0,0,0,0,14.375
16,0,0,0,0,14.232
16,0,0,0,0,13.361
16,0,0,0,0,13.096
16,0,0,0,0,13.109
16,0,0,0,0,13.647
16,0,0,0,0,13.855
16,0,0,0,0,31.064
16,0,0,0,0,28.907
16,0,0,0,0,40.625
16,0,0,0,0,42.574
16,0,0,0,0,38.346
16,0,0,0,0,55.384
16,0,0,0,0,32.405
16,0,0,0,0,55.565
16,0,0,0,0,52.187
16,0,0,0,0,44.446
16,0,0,0,0,27.553
16,0,0,0,0,35.956
16,0,0,0,0,45.823
16,0,0,0,0,30.55
16,0,0,0,0,33.352
16,0,0,0,0,67.739
16,0,0,0,0,47.371
16,0,0,0,0,35.06
16,0,0,0,0,34.516
16,0,0,0,0,33.976
16,0,0,0,0,52.104
16,0,0,0,0,35.833
16,0,0,0,1,58.259
16,0,0,0,0,40.02
16,0,0,0,0,65.998
16,0,0,0,0,28.339
16,0,0,0,0,27.542
16,0,0,0,0,38.639
16,0,0,0,0,32.805
16,0,0,0,0,39.919
16,0,0,0,0,37.92
16,0,0,0,1,53.06
16,0,0,0,0,47.038
16,0,0,0,0,35.809
16,0,0,0,0,44.02
16,0,0,0,0,43.113
16,0,0,0,0,39.417
16,0,0,0,0,50.621
16,0,0,0,0,37.366
16,0,0,0,0,33.685
16,0,0,0,1,27.157
16,0,0,0,1,39.584
16,0,0,0,0,36.308
16,0,0,0,0,34.121
16,0,0,0,0,31.804
16,0,0,0,0,27.212
16,0,0,0,1,68.977
16,0,0,0,0,52.314
16,0,0,0,0,33.02
16,0,0,0,0,48.857
16,0,0,0,0,46.607
16,0,0,0,0,29.32
16,0,0,0,0,42.226
16,0,0,0,0,59.519
16,0,0,0,0,25.168
16,0,0,0,0,40.039
16,0,0,0,0,23.621
16,0,0,0,0,36.018
16,0,0,0,0,25.633
16,0,0,0,0,57.38
16,0,0,0,0,26.457
16,0,0,0,0,29.417
16,0,0,0,0,38.732
16,0,0,0,0,58.95
16,0,0,0,0,33.671
16,0,0,0,0,27.409
16,0,0,0,0,26.806
16,0,0,0,0,40.768
16,0,0,0,1,27.452
16,0,0,0,0,24.549
16,0,0,0,0,40.236
16,0,0,0,0,38.788
16,106,4,2,1,35.508
16,106,4,2,0,41.397
16,106,4,2,0,34.809
16,106,4,2,0,37.215
16,106,4,2,0,38.493
16,106,4,2,0,32.857
16,106,4,2,0,39.331
16,106,4,2,0,45.18
16,106,4,2,0,36.365
16,106,4,2,0,37.866
16,106,4,2,0,29.979
16,106,4,2,0,29.453
16,106,4,2,0,23.995
16,106,4,2,0,17.217
16,106,4,2,0,22.06
16,106,4,2,0,26.977
16,106,4,2,0,18.516
16,106,4,2,0,19.841
16,106,4,2,0,15.298
16,106,4,2,1,14.933
16,106,4,2,0,28.318
16,106,4,2,0,32.91
16,106,4,2,0,34.542
16,106,4,2,0,39.568
16,106,4,2,0,34.959
16,106,4,2,0,27.821
16,106,4,2,0,20.086
16,106,4,2,0,22.6
16,106,4,2,0,17.901
16,106,4,2,0,18.234
16,106,4,2,0,14.461
16,106,4,2,0,14.103
16,106,4,2,0,15.757
16,106,4,2,0,13.936
16,106,4,2,0,15.49
16,106,4,2,0,14.465
16,106,4,2,0,13.327
16,106,4,2,0,14.18
16,106,4,2,0,21.303
16,106,4,2,0,26.432
16,106,4,2,0,42.489
16,106,4,2,0,31.606
16,106,4,2,0,35.0
16,106,4,2,0,31.425
16,106,4,2,0,38.814
16,106,4,2,1,37.905
16,106,4,2,0,68.263
16,106,4,2,0,40.562
16,106,4,2,0,31.954
16,106,4,2,0,40.299
16,106,4,2,0,30.428
16,106,4,2,0,41.658
16,106,4,2,0,26.015
16,106,4,2,0,38.198
16,106,4,2,0,33.71
16,106,4,2,0,31.775
16,106,4,2,0,34.105
16,106,4,2,0,28.483
16,106,4,2,0,25.563
16,106,4,2,0,19.677
16,106,4,2,0,19.143
16,106,4,2,0,15.214
16,106,4,2,0,15.336
16,106,4,2,1,15.165
16,106,4,2,0,15.531
16,106,4,2,0,16.0
16,106,4,2,0,18.859
16,106,4,2,0,15.068
16,106,4,2,0,14.579
16,106,4,2,0,14.971
16,106,4,2,0,13.885
16,106,4,2,0,13.315
16,106,4,2,0,12.446
16,106,4,2,0,12.608
16,106,4,2,0,14.841
16,106,4,2,0,12.353
16,106,4,2,0,15.716
16,106,4,2,0,21.684
16,106,4,2,0,20.705
16,106,4,2,0,23.377
16,106,4,2,0,26.969
16,106,4,2,0,22.491
16,106,4,2,0,14.651
16,106,4,2,0,20.01
16,106,4,2,0,17.268
16,106,4,2,0,17.194
16,106,4,2,0,15.499
16,106,4,2,0,14.656
16,106,4,2,0,15.734
16,106,4,2,0,22.25
16,106,4,2,0,27.259
16,106,4,2,0,14.2
16,106,4,2,0,14.119
16,106,4,2,0,14.265
16,106,4,2,0,18.973
16,106,4,2,0,15.667
16,106,4,2,0,14.427
16,106,4,2,0,14.43
16,106,4,2,0,16.554
16,106,4,2,0,17.33
16,103,5,1,0,42.937
16,103,5,1,0,55.447
16,103,5,1,0,35.352
16,103,5,1,0,31.676
16,103,5,1,0,30.53
16,103,5,1,0,41.111
16,103,5,1,0,70.129
16,103,5,1,1,46.227
16,103,5,1,0,50.875
16,103,5,1,1,35.182
16,103,5,1,0,46.589
16,103,5,1,0,66.75
16,103,5,1,0,49.31
16,103,5,1,1,59.964
16,103,5,1,0,30.903
